date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:55:57	14690/14690	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225554a348-3962%22	http://html.templines.com/shoptime-html/bath/js/jquery.selectbox-0.2.js	F:/wamp/wed3/html.templines.com/shoptime-html/bath/js/jquery.selectbox-0.2.js	(from http://html.templines.com/shoptime-html/bath/catalog.html)
21:55:59	46085/46085	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225554a347-b405%22	http://html.templines.com/shoptime-html/bath/js/jquery-ui.min.js	F:/wamp/wed3/html.templines.com/shoptime-html/bath/js/jquery-ui.min.js	(from http://html.templines.com/shoptime-html/bath/catalog.html)
21:56:09	200036/200036	---M--	200	added ('OK')	image/png	etag:%225554a43d-30d64%22	http://html.templines.com/shoptime-html/bath/media/slides/catalog-slide3.png	F:/wamp/wed3/html.templines.com/shoptime-html/bath/media/slides/catalog-slide3.png	(from http://html.templines.com/shoptime-html/bath/catalog.html)
21:56:19	60218/60218	---M--	200	added ('OK')	image/jpeg	etag:%225554a437-eb3a%22	http://html.templines.com/shoptime-html/bath/media/blog/1.jpg	F:/wamp/wed3/html.templines.com/shoptime-html/bath/media/blog/1.jpg	(from http://html.templines.com/shoptime-html/bath/blog.html)
21:56:22	13369/13369	---M--	200	added ('OK')	image/png	etag:%225554a438-3439%22	http://html.templines.com/shoptime-html/bath/media/blog/user1.png	F:/wamp/wed3/html.templines.com/shoptime-html/bath/media/blog/user1.png	(from http://html.templines.com/shoptime-html/bath/blog.html)
21:56:23	1918/1918	---M--	200	added ('OK')	image/png	etag:%225554a341-77e%22	http://html.templines.com/shoptime-html/bath/images/audio_player.png	F:/wamp/wed3/html.templines.com/shoptime-html/bath/images/audio_player.png	(from http://html.templines.com/shoptime-html/bath/blog.html)
21:56:25	7619/7619	---M--	200	added ('OK')	image/png	etag:%225554a5a4-1dc3%22	http://html.templines.com/shoptime-html/bath/media/blog/images/post_01.png	F:/wamp/wed3/html.templines.com/shoptime-html/bath/media/blog/images/post_01.png	(from http://html.templines.com/shoptime-html/bath/blog.html)
21:56:25	312674/312674	---M--	200	added ('OK')	image/png	etag:%225554a43d-4c562%22	http://html.templines.com/shoptime-html/bath/media/slides/catalog-slide1.png	F:/wamp/wed3/html.templines.com/shoptime-html/bath/media/slides/catalog-slide1.png	(from http://html.templines.com/shoptime-html/bath/catalog.html)
21:56:26	7909/7909	---M--	200	added ('OK')	image/png	etag:%225554a5a4-1ee5%22	http://html.templines.com/shoptime-html/bath/media/blog/images/post_02.png	F:/wamp/wed3/html.templines.com/shoptime-html/bath/media/blog/images/post_02.png	(from http://html.templines.com/shoptime-html/bath/blog.html)
21:56:27	8366/8366	---M--	200	added ('OK')	image/png	etag:%225554a5a4-20ae%22	http://html.templines.com/shoptime-html/bath/media/blog/images/post_03.png	F:/wamp/wed3/html.templines.com/shoptime-html/bath/media/blog/images/post_03.png	(from http://html.templines.com/shoptime-html/bath/blog.html)
